record_id	kind	current_owner	current_path	symbol_or_identity	current_contract_or_dependencies	destination	owning_phase	owner	test_ids	status	provenance	notes
DEC-001	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Features/Workspaces/WorkspaceModel.swift	WorkspacePreset; StoredSelection; ContextBuilderOverrides; ContextBuilderTabConfig; StashedTab; ComposeTabState; WorkspaceModel	persisted Codable workspace graph	RepoPromptCore	2	workspace-persistence	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract	assigned	current source; persistence-schema.md	Presentation/policy extensions may remain in app
DEC-002	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Models/WorkspaceFileContextModels.swift	WorkspaceLookupRootScope; WorkspaceLookupRootScopeAvailability; WorkspaceRootKind; WorkspaceRootRecord; WorkspaceFolderRecord; WorkspaceFileRecord	validated root and record values	RepoPromptCore	2	workspace-context	root/RepoPromptTests.WorkspaceRootBindingProjectionTests/testMaterializerFailsClosedWhenPhysicalRootCannotBeLoaded	assigned	current source	Names/cases/equality remain exact
DEC-003	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Models/WorkspaceFileContextModels.swift	WorkspaceSearchReadinessTicket; WorkspaceSearchReadinessState; WorkspaceSearchReadinessWaitError	typed readiness/generation state	RepoPromptCore	2	workspace-context	root/RepoPromptTests.WorkspaceSwitchRecoveryTests/testWorkspaceSearchReadinessWaitsForExactSwitchGenerationAndRejectsStaleTicket	assigned	current source	No stale ticket broadening
DEC-004	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Models/WorkspaceFileContextModels.swift	WorkspaceCatalogDiagnostics; WorkspaceSearchCatalogEntry; WorkspaceSearchCatalogAccessRequirement; WorkspaceSearchQueryResult	catalog/search snapshots and results	RepoPromptCore	2	workspace-context	root/RepoPromptTests.WorkspacePerRootPathSearchIndexTests/testConcurrentOldReaderRetainsOldIndexWhileNewGenerationPublishes	assigned	current source	Generation lease implementation moves in Phase 4
DEC-005	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Models/WorkspaceFileContextModels.swift	WorkspacePathLookupRequest; WorkspacePathLocation; WorkspacePathLookupResult; WorkspaceResolvedCandidates; WorkspaceCodemapOnlyCandidates	path lookup values	RepoPromptCore	2	path-lookup	root/RepoPromptTests.PathMatchingRecoveryTests/testAliasAndAbsoluteResolutionStayScopedToTheMatchingRoot	assigned	current source	No physical/logical fallback changes
DEC-006	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/PathLookup/PathMatchTypes.swift	PathMatchLocation; PathMatchCacheIdentity; PathLocateProfile; PathLocateOptions; FileCreationResolution; AnyItem	path matching values	RepoPromptCore	2	path-lookup	root/RepoPromptTests.PathMatchingRecoveryTests/testUnicodeAndCaseInsensitiveLookupPreserveStoredRelativePath	assigned	current source	Concrete workers/services move later if required
DEC-007	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/PathLookup/PathCharPolicy.swift	PathCharPolicy	neutral Unicode/path folding	RepoPromptCore	2	path-lookup	root/RepoPromptTests.PathMatchingRecoveryTests/testUnicodeAndCaseInsensitiveLookupPreserveStoredRelativePath	assigned	current source	Preserve exact folding behavior
DEC-008	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Slices/LineRange.swift; Sources/RepoPrompt/Infrastructure/WorkspaceContext/Slices/SliceRangeMath.swift	LineRange and neutral slice range math	Codable inclusive 1-based ranges	RepoPromptCore	2	slices	root/RepoPromptTests.SelectionSlicePersistenceAndRebaseTests/testSliceRebaseDropsOnlyWhenPostEditContentHasNoValidLine	assigned	current source	Platform persistence stays separate
DEC-009	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Models/WorkspaceFileContextModels.swift	ResolvedWorkspaceSelection; ResolvedPromptFileEntryID; ResolvedPromptFileEntryRole; PromptFileEntryMode; ResolvedPromptFileEntry; ResolvedPromptFileBlockRecord	neutral selection/prompt projection values	RepoPromptCore	2	selection-prompt	root/RepoPromptTests.PromptContextAccountingServiceTests/testExactSelectedFilesPreserveStoredSelectionOrderAfterBatchLookupAndConcurrentReads	assigned	current source	Policy enums/extensions remain app-owned
DEC-010	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/TokenAccounting/TokenCalculationSnapshot.swift	TokenCalculationSnapshot and neutral token accounting values	factual token projection	RepoPromptCore	2	prompt-accounting	root/RepoPromptTests.PromptContextAccountingServiceTests/testCodemapAccountingCountsExactRenderedHeaderAndImports	assigned	current source	Service move occurs Phase 6
DEC-011	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Features/CodeMap/Models/FileAPI.swift	FileAPI; InterfaceInfo; TypeAliasInfo; ClassInfo; FunctionInfo; ParameterInfo; PropertyInfo; VariableInfo; EnumInfo	Codable factual code structure	RepoPromptCore	2	codemap	root/RepoPromptTests.CodeMapGoldenTests/testFixturesMatchGoldenCodeMapDescriptions	assigned	current source	UI FileViewModel remains app-owned
DEC-012	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Models/WorkspaceFileContextModels.swift	WorkspaceCodemapSnapshot; WorkspaceCodemapSnapshotBundle; RenderedCodemap; WorkspaceCodemapRepairResult; WorkspaceCodemapUpdateEvent	neutral codemap snapshots	RepoPromptCore	2	codemap	root/RepoPromptTests.PromptCanonicalCodemapPackagingTests/testFrozenHeadlessPackagingPreservesSlicesAndWorktreeProjectionWithCanonicalCodemap	assigned	current source	Scanner runtime moves later
DEC-013	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/Regex/PCRE2RegexAdapter.swift; Sources/RepoPrompt/Infrastructure/Regex/RegexToolkit.swift	neutral regex adapter/toolkit	CSwiftPCRE2 and Foundation behavior	RepoPromptCore	2	neutral-core		assigned	current source	Raise access only when compilation requires
DEC-014	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/Utilities/RelativePath.swift; Sources/RepoPrompt/Infrastructure/Utilities/StandardizedPath.swift; Sources/RepoPrompt/Infrastructure/Utilities/CheckoutPathIdentity.swift	neutral path identity utilities	Foundation-only path semantics	RepoPromptCore	2	neutral-core	root/RepoPromptTests.WorkspaceRootBindingProjectionTests/testSelectionCanPhysicalizeForLookupThenLogicalizeForPersistence	assigned	current source	App presentation helpers stay
DEC-015	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Search/RepoSearchQuery.swift; Sources/RepoPrompt/Infrastructure/WorkspaceContext/Search/PathSearchIndex.swift	neutral query/ranking/index values	deterministic search semantics	RepoPromptCore	2	search	root/RepoPromptTests.PathSearchIndexRecoveryTests/testSearchMatchesFilenameSubpathTokensAndPublishesDeterministicRankMetadata	assigned	current source	Actor/store services move Phase 4
DEC-016	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/PathResolution/WorkspacePathPolicy.swift	WorkspaceRootRef; RootAliasOptions; RootAliasResolution; PathResolutionIssue; ClientPathFormatter	logical/physical root identity and client labels	RepoPromptCore neutral values; app presentation extensions may remain	2	path-lookup	root/RepoPromptTests.WorkspaceRootBindingProjectionTests/testFileTreeSnapshotIsDisplayedAsLogicalRoot	assigned	current source	Preserve logical labels and compatibility aliases
CALL-001	callsite_class	RepoPrompt	Sources/RepoPrompt/Features/Workspaces/ViewModels/WorkspaceManagerViewModel.swift	workspace arrays/switching/readiness/persistence authority	direct ownership of DEC-001..005	app adapter then Core authority	5	app-authority	root/RepoPromptTests.WorkspaceSelectionPersistenceTests/testDiskWriterMergesNewerSelectionIntoNewerDiskInsteadOfSkipping	assigned	plan critical map	Remains writable until atomic Phase 5 cutover
CALL-002	callsite_class	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Selection/WorkspaceSelectionCoordinator.swift	selection mutation/mirroring/peer propagation	direct manager and compose-tab access	app observation/command adapter	5	app-authority	root/RepoPromptTests.WorkspaceSelectionCoordinatorTests/testMCPMirrorRepairsAfterABATabTransitionDuringSuspension	assigned	plan critical map	Phase 2 consumes typealiases only
CALL-003	callsite_class	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/WorkspaceFileContextStore.swift	root lifetime/catalog/search/codemap authority	depends on neutral values	RepoPromptCore	4	core-engine	root/RepoPromptTests.WorkspaceFileContextStoreTests/testStalePublisherLifetimeCannotMutateCurrentRootState	assigned	plan critical map	Do not reconstruct in Phase 2
CALL-004	callsite_class	RepoPrompt	Sources/RepoPrompt/Features/WorkspaceFiles/ViewModels/WorkspaceFilesViewModel.swift	UI root/selection projection	direct concrete values	RepoPrompt app presentation	2	app-presentation	root/RepoPromptTests.WorkspaceRootSyncTests/testRootShellProjectionsMirrorRootOrderAndHideSystemRootsForVisibleProjection	assigned	current source	Import/typealias transition only
CALL-005	callsite_class	RepoPrompt	Sources/RepoPrompt/Features/Prompt/Services/PromptContextPreAssemblyService.swift	prompt/review orchestration	app policy plus factual projections	RepoPrompt policy calling RepoPromptCore factual API	6	prompt-policy	root/RepoPromptTests.PromptContextPreAssemblyServiceTests/testDelegatedArtifactRequiresExactFrozenConsumerAtPreassemblyBoundary	assigned	plan critical map	Git authority stays app-owned
CALL-006	callsite_class	RepoPrompt	Sources/RepoPrompt/Infrastructure/MCP/MCPBindingResolver.swift	window/session routing	current app/window authority	RepoPrompt runtime registry adapter	7	mcp-runtime	root/RepoPromptTests.MCPReadFileAutoSelectionCoordinatorTests/testReplacementBindingGenerationDropsOldWorkAndAcceptsNewWork	assigned	plan critical map	External priority/error compatibility retained
CALL-007	callsite_class	RepoPrompt	Sources/RepoPrompt/Features/CodeMap	code structure scanners/models	models consume RepoPromptSyntaxCBridge; UI consumes RepoPromptCore values	split neutral models/runtime from app UI	2	codemap	root/RepoPromptTests.CodeMapGoldenTests/testSnapshotFileTreeMarksCodeMapFixtures	assigned	current source	Scanner extraction is later phase
PST-001	persisted_field	RepoPrompt	Sources/RepoPrompt/Features/Workspaces/WorkspaceModel.swift	workspace.json field set/defaults/order	see contracts/persistence-schema.md	RepoPromptCore values with app path policy	2	workspace-persistence	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract	frozen	Phase 0 characterization	Exact fixture moves with type
PST-002	persisted_field	RepoPrompt	Sources/RepoPrompt/Features/Workspaces/ViewModels/WorkspaceManagerViewModel.swift	workspacesIndex.json	id; name; customStoragePath; isSystemWorkspace; isHiddenInMenus	RepoPromptCore value/app persistence transaction	2	workspace-persistence		frozen	Phase 0 characterization	Index order and current decode failure behavior frozen
PST-003	persisted_field	RepoPrompt	Sources/RepoPrompt/Features/Workspaces/ViewModels/WorkspaceManagerViewModel.swift	dirty/saved and selection revision semantics	state versions; nonpersisted monotonic revisions; stale reconciliation	WorkspaceSessionController	5	workspace-persistence	root/RepoPromptTests.WorkspaceSelectionPersistenceTests/testDiskWriterPreservesNewerSelectionRevisionAgainstLaterStalePayload	frozen	Phase 0 characterization	Authority moves atomically
TST-001	live_test	RepoPromptTests	Tests/RepoPromptTests/WorkspaceRootSyncTests.swift	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract	3 persistence compatibility scenarios	core/RepoPromptCoreTests equivalent after DEC-001 move	2	test-owner	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract	frozen	Phase 0 addition	Old to new ID recorded when moved
TST-002	live_test	RepoPromptTests	Tests/RepoPromptTests/WorkspaceContext/WorkspaceRootBindingProjectionTests.swift	root/RepoPromptTests.WorkspaceRootBindingProjectionTests/testMaterializerFailsClosedWhenPhysicalRootCannotBeLoaded	fail-closed physical root	moved to lowest faithful Core/CoreMacOS target by layer	2	test-owner	root/RepoPromptTests.WorkspaceRootBindingProjectionTests/testMaterializerFailsClosedWhenPhysicalRootCannotBeLoaded	assigned	authoritative list	Materializer move occurs later
TST-003	live_test	RepoPromptTests	Tests/RepoPromptTests/WorkspaceContext/WorkspaceFileContextStoreTests.swift	root/RepoPromptTests.WorkspaceFileContextStoreTests/testValidatedSessionScopeRejectsSamePathRootReplacement	root lifetime/generation identity	core/ when store moves	4	test-owner	root/RepoPromptTests.WorkspaceFileContextStoreTests/testValidatedSessionScopeRejectsSamePathRootReplacement	assigned	authoritative list	Remain root through Phase 2
TST-004	live_test	RepoPromptTests	Tests/RepoPromptTests/WorkspaceContext/Search/StoreBackedWorkspaceSearchTests.swift	root/RepoPromptTests.StoreBackedWorkspaceSearchTests/testQueuedBroadSearchRejectsSupersededReadinessTicketAfterAdmission	readiness supersession	core/ when search moves	4	test-owner	root/RepoPromptTests.StoreBackedWorkspaceSearchTests/testQueuedBroadSearchRejectsSupersededReadinessTicketAfterAdmission	assigned	authoritative list	Remain root through Phase 2
TST-005	live_test	RepoPromptTests	Tests/RepoPromptTests/WorkspaceContext/WorkspaceSelectionCoordinatorTests.swift	root/RepoPromptTests.WorkspaceSelectionCoordinatorTests/testMCPMirrorRepairsAfterABATabTransitionDuringSuspension	selection ABA and mirroring	split Core revision state/root MainActor adapter in Phase 5	5	test-owner	root/RepoPromptTests.WorkspaceSelectionCoordinatorTests/testMCPMirrorRepairsAfterABATabTransitionDuringSuspension	assigned	authoritative list	No Phase 2 ID move
TST-006	live_test	RepoPromptTests	Tests/RepoPromptTests/Prompt/PromptContextAccountingServiceTests.swift	root/RepoPromptTests.PromptContextAccountingServiceTests/testExactSelectedFilesPreserveStoredSelectionOrderAfterBatchLookupAndConcurrentReads	selection/prompt factual ordering	core/ factual test after Phase 6	6	test-owner	root/RepoPromptTests.PromptContextAccountingServiceTests/testExactSelectedFilesPreserveStoredSelectionOrderAfterBatchLookupAndConcurrentReads	assigned	authoritative list	Neutral value assertions may move earlier only if faithful
TST-007	live_test	RepoPromptTests	Tests/RepoPromptTests/Prompt/SelectedGitDiffArtifactAuthorizationServiceTests.swift	root/RepoPromptTests.SelectedGitDiffArtifactAuthorizationServiceTests/testWrongWorkspaceRootTraversalAndStaleCapabilityFailClosed	review authorization and stale capability	root/ remains	6	test-owner	root/RepoPromptTests.SelectedGitDiffArtifactAuthorizationServiceTests/testWrongWorkspaceRootTraversalAndStaleCapabilityFailClosed	frozen	authoritative list	App policy never moves
P1-001	phase1_implementation	none	Package.swift	five production target roots	no Phase 1 targets	RepoPromptCore; RepoPromptCoreMacOS; RepoPromptPOSIXSupport; RepoPromptSyntaxCBridge; RepoPromptHeadless	1	package-control-plane		implemented	Phase 1 implementation at e30f104d	Scaffold-only sources; no DEC-* declaration or runtime authority moved
P1-002	phase1_implementation	none	Package.swift	repoprompt-headless executable product	no standalone product	repoprompt-headless backed by RepoPromptHeadless	1	package-control-plane		implemented	Phase 1 implementation; ADR-001; ADR-002	Compile-only no-I/O scaffold; Phase 8 owns protocol, state, packaging, install, and smoke behavior
P1-003	control_plane	Package.swift	Scripts/core_isolation_guardrails.py	dependency/import/declaration/C-symbol/package separation	frozen graph documented only	executable source and manifest enforcement	1	package-control-plane		implemented	Phase 1 implementation; P0-09; P0-10	Deterministic negative tests cover reverse edge, forbidden imports, rpce_ namespace, app/headless separation, and placeholder test targets
P1-004	control_plane	Scripts/conductor.py	Scripts/conductor.py; Makefile; .github/workflows/ci.yml	production target/product build vocabulary	two product choices and no target selector	three products plus five explicit target choices	1	build-control-plane		implemented	Phase 1 implementation	All operations retain the serialized build lane; no Phase 8 packaging/smoke operation added
P1-005	control_plane	Scripts/generate_xcode_workspace.py	Scripts/generate_xcode_workspace.py	generated Xcode scaffold graph	two native executable products and three convenience workflows	three native executable products; five new production targets; same three convenience workflows	1	xcode-control-plane		implemented	Phase 1 implementation	No dedicated empty test target or fourth convenience workflow
P1-006	test_vocabulary	Scripts/test_suite_optimizer.py	Scripts/test_suite_optimizer.py	seven-prefix authoritative ledger vocabulary	root/; provider/	root/; provider/; core/; core-macos/; posix/; syntax-c-bridge/; headless/	1	test-control-plane		implemented	Phase 1 implementation	Manifest-declared targets are mandatory and nonempty; absent reserved targets contribute zero rows and no list call
P1-007	test_lane	none	none	five dedicated isolated test targets and list lanes	reserved only	remain absent until first meaningful contract test moves	1	test-control-plane		verified_absent	Phase 1 implementation; PKG-010..014	No placeholder XCTest IDs; existing root/provider IDs and scenario totals unchanged
P1-008	ledger_correction	P1-001	docs/core-isolation/migration-ledger.tsv	P1-001 implementation provenance	Phase 1 implementation at e30f104d	implemented from base e30f104d in the uncommitted Phase 1 worktree	1	package-control-plane		corrects_provenance	Phase 1 independent review	Supersedes only P1-001 provenance wording; e30f104d is the base checkpoint, not an implementation commit
P2-DEC-001	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/Workspaces	workspace persistence graph plus FilesTab/CopyCustomizations option dependencies	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/Workspaces	2	neutral-core	core/RepoPromptCoreTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract; core/RepoPromptCoreTests.WorkspaceRootSyncTests/testWorkspaceDecodeCreatesDefaultComposeTabAndIgnoresRemovedLegacyFields; core/RepoPromptCoreTests.WorkspaceRootSyncTests/testNewWorkspaceBytesDecodeThroughIndependentLegacyRollbackReader	implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-001 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-002	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	validated scopes root kinds and root/folder/file records	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-002 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-003	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	readiness tickets states errors and root-load failure value	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-003 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-004	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	catalog diagnostics entries access requirements and query results	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-004 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-005	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	path lookup request location result and resolved candidate values	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-005 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-006	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/PathLookup/PathMatchTypes.swift	path match location/cache/profile/options plus creation/heterogeneous values	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/PathLookup/PathMatchTypes.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-006 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-007	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/PathLookup/PathCharPolicy.swift	PathCharPolicy	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/PathLookup/PathCharPolicy.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-007 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-008	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Slices	LineRange and SliceRangeMath	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Slices	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-008 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-009	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	resolved selection and prompt projection values	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-009 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
